Conta: 26471
Titular: SIDERLEI SILVA
Data: 01/09/2026

Ativo;Abertura;Fechamento;Tempo Operação;Qtd Compra;Qtd Venda;Lado;Preço Compra;Preço Venda;Preço de Mercado;Médio;Res. Intervalo Bruto;Res. Intervalo (%);Número Operação;Res. Operação;Res. Operação (%);TET;Comissões;Total
WDOV26;01/09/2026 09:05:00;01/09/2026 09:05:00;-;1;1;C;5.227,00;5.233,00;5.178,50;Não;60,00;6,00;1;60,00;6,00; - ;0,00;60,00
WDOV26;01/09/2026 09:10:00;01/09/2026 09:15:00;5min;1;1;C;5.233,00;5.227,00;5.178,50;Não;-60,00;-6,00;2;-60,00;-6,00;5min;0,00;0,00
WDOV26;01/09/2026 09:20:00;01/09/2026 09:30:00;10min;1;1;V;5.231,50;5.225,50;5.178,50;Não;-60,00;-6,00;3;-60,00;-6,00;10min;0,00;-60,00
WDOV26;01/09/2026 09:35:00;01/09/2026 09:40:00;5min;1;1;C;5.229,00;5.223,00;5.178,50;Sim;-60,00;-6,00;4;-60,00;-6,00;15min;0,00;-120,00
WDOV26;01/09/2026 09:45:00;01/09/2026 09:55:00;10min;1;1;V;5.217,50;5.223,50;5.178,50;Não;60,00;6,00;5;60,00;6,00;10min;0,00;-60,00
WDOV26;01/09/2026 10:15:00;01/09/2026 10:20:00;5min;1;1;V;5.207,00;5.213,00;5.178,50;Não;60,00;6,00;6;60,00;6,00;30min;0,00;0,00
WDOV26;01/09/2026 10:30:00;01/09/2026 10:35:00;5min;1;1;V;5.198,50;5.204,50;5.178,50;Não;60,00;6,00;7;60,00;6,00;15min;0,00;60,00
WDOV26;01/09/2026 10:40:00;01/09/2026 10:45:00;5min;1;1;V;5.193,50;5.199,50;5.178,50;Não;60,00;6,00;8;60,00;6,00;10min;0,00;120,00
WDOV26;01/09/2026 10:50:00;01/09/2026 10:50:00;-;1;1;V;5.188,50;5.194,50;5.178,50;Não;60,00;6,00;9;60,00;6,00;10min;0,00;180,00
WDOV26;01/09/2026 10:55:00;01/09/2026 11:00:00;5min;1;1;V;5.183,00;5.189,00;5.178,50;Não;60,00;6,00;10;60,00;6,00;5min;0,00;240,00
WDOV26;01/09/2026 11:05:00;01/09/2026 11:35:00;30min;1;1;V;5.176,50;5.182,50;5.178,50;Não;60,00;6,00;11;60,00;6,00;10min;0,00;300,00
WDOV26;01/09/2026 11:40:00; - ; - ;0;1;V;5.177,50;5.177,50;5.177,50;Não;0,00;0,00;12;0,00;0,00;35min;0,00;300,00
