Conta: 26471
Titular: SIDERLEI SILVA
Data: 01/09/2026

Ativo;Abertura;Fechamento;Tempo Operação;Qtd Compra;Qtd Venda;Lado;Preço Compra;Preço Venda;Preço de Mercado;Médio;Res. Intervalo Bruto;Res. Intervalo (%);Número Operação;Res. Operação;Res. Operação (%);TET;Comissões;Total
WINV26;01/09/2026 09:06:00;01/09/2026 09:06:00;-;1;1;C;180.305,00;180.155,00;183.070,00;Não;-30,00;-150,00;1;-30,00;-150,00; - ;0,00;-30,00
WINV26;01/09/2026 09:16:00;01/09/2026 09:16:00;-;1;1;C;180.510,00;180.660,00;183.070,00;Não;30,00;150,00;2;30,00;150,00;10min;0,00;0,00
WINV26;01/09/2026 09:18:00;01/09/2026 09:18:00;-;1;1;C;180.595,00;180.595,00;183.070,00;Não;0;0;3;0;0;2min;0,00;0,00
WINV26;01/09/2026 09:46:00;01/09/2026 09:46:00;-;1;1;C;180.700,00;180.850,00;183.070,00;Não;30,00;150,00;4;30,00;150,00;28min;0,00;30,00
WINV26;01/09/2026 09:48:00;01/09/2026 09:48:00;-;1;1;C;180.895,00;180.895,00;183.070,00;Não;0;0;5;0;0;2min;0,00;30,00
WINV26;01/09/2026 09:52:00;01/09/2026 09:52:00;-;1;1;C;180.940,00;181.090,00;183.070,00;Não;30,00;150,00;6;30,00;150,00;4min;0,00;60,00
WINV26;01/09/2026 09:54:00;01/09/2026 09:58:00;4min;1;1;C;181.105,00;181.255,00;183.070,00;Não;30,00;150,00;7;30,00;150,00;2min;0,00;90,00
WINV26;01/09/2026 10:20:00;01/09/2026 10:20:00;-;1;1;V;180.070,00;180.220,00;183.070,00;Não;30,00;150,00;8;30,00;150,00;26min;0,00;120,00
WINV26;01/09/2026 10:22:00;01/09/2026 10:22:00;-;1;1;V;179.740,00;179.890,00;183.070,00;Não;30,00;150,00;9;30,00;150,00;2min;0,00;150,00
WINV26;01/09/2026 10:32:00;01/09/2026 10:32:00;-;1;1;C;180.660,00;180.810,00;183.085,00;Sim;30,00;150,00;10;30,00;150,00;10min;0,00;180,00
WINV26;01/09/2026 10:34:00;01/09/2026 10:34:00;-;1;1;C;180.905,00;181.055,00;183.085,00;Não;30,00;150,00;11;30,00;150,00;2min;0,00;210,00
WINV26;01/09/2026 10:36:00;01/09/2026 10:36:00;-;1;1;C;181.315,00;181.465,00;183.085,00;Não;30,00;150,00;12;30,00;150,00;2min;0,00;240,00
WINV26;01/09/2026 10:52:00;01/09/2026 10:52:00;-;1;1;C;181.725,00;181.875,00;183.085,00;Não;30,00;150,00;13;30,00;150,00;16min;0,00;270,00
WINV26;01/09/2026 10:58:00;01/09/2026 10:58:00;-;1;1;C;182.125,00;182.275,00;183.085,00;Não;30,00;150,00;14;30,00;150,00;6min;0,00;300,00
WINV26;01/09/2026 11:02:00;01/09/2026 11:02:00;-;1;1;C;182.650,00;182.500,00;183.085,00;Não;-30,00;-150,00;15;-30,00;-150,00;4min;0,00;270,00
WINV26;01/09/2026 11:04:00;01/09/2026 11:04:00;-;1;1;C;182.835,00;182.985,00;183.085,00;Não;30,00;150,00;16;30,00;150,00;2min;0,00;300,00
WINV26;01/09/2026 11:24:00;01/09/2026 11:24:00;-;1;1;C;183.350,00;183.500,00;183.085,00;Não;30,00;150,00;17;30,00;150,00;20min;0,00;330,00
WINV26;01/09/2026 11:36:00;01/09/2026 11:40:00;4min;1;1;C;183.580,00;183.430,00;183.085,00;Não;-30,00;-150,00;18;-30,00;-150,00;12min;0,00;300,00
WINV26;01/09/2026 12:02:00;01/09/2026 12:02:00;-;1;1;C;183.555,00;183.555,00;183.085,00;Sim;0;0;19;0;0;26min;0,00;300,00
