Conta: 26471
Titular: SIDERLEI SILVA
Data: 27/08/2026

Ativo;Abertura;Fechamento;Tempo Operação;Qtd Compra;Qtd Venda;Lado;Preço Compra;Preço Venda;Preço de Mercado;Médio;Res. Intervalo Bruto;Res. Intervalo (%);Número Operação;Res. Operação;Res. Operação (%);TET;Comissões;Total
WINV26;27/08/2026 12:03:00;27/08/2026 12:07:00;4min;1;1;C;176.925,00;176.725,00;177.725,00;Não;-40,00;-200,00;1;-40,00;-200,00; - ;0,00;-40,00
WINV26;27/08/2026 12:08:00;27/08/2026 12:10:00;2min;1;1;C;176.735,00;176.935,00;177.725,00;Sim;40,00;200,00;2;40,00;200,00;5min;0,00;0,00
WINV26;27/08/2026 12:11:00;27/08/2026 12:25:00;14min;1;1;V;177.260,00;177.060,00;177.725,00;Não;-40,00;-200,00;3;-40,00;-200,00;3min;0,00;-40,00
WINV26;27/08/2026 12:26:00;27/08/2026 12:34:00;8min;1;1;V;177.410,00;177.210,00;177.725,00;Sim;-40,00;-200,00;4;-40,00;-200,00;15min;0,00;-80,00
WINV26;27/08/2026 12:39:00;27/08/2026 12:46:00;7min;1;1;V;177.415,00;177.505,00;177.725,00;Sim;18,00;90,00;5;18,00;90,00;13min;0,00;-62,00
WINV26;27/08/2026 12:47:00;27/08/2026 12:57:00;10min;1;1;C;177.410,00;177.560,00;177.725,00;Não;30,00;150,00;6;30,00;150,00;8min;0,00;-32,00
WINV26;27/08/2026 12:58:00;27/08/2026 13:13:00;15min;1;1;V;177.695,00;177.495,00;177.725,00;Não;-40,00;-200,00;7;-40,00;-200,00;11min;0,00;-72,00
WINV26;27/08/2026 13:14:00;27/08/2026 13:23:00;9min;1;1;V;177.685,00;177.660,00;177.725,00;Sim;-5,00;-25,00;8;-5,00;-25,00;16min;0,00;-77,00
WINV26;27/08/2026 13:24:00;27/08/2026 13:30:00;6min;1;1;V;177.620,00;177.730,00;177.725,00;Sim;22,00;110,00;9;22,00;110,00;10min;0,00;-55,00
WINV26;27/08/2026 13:31:00;27/08/2026 13:39:00;8min;1;1;C;177.655,00;177.775,00;177.725,00;Não;24,00;120,00;10;24,00;120,00;7min;0,00;-31,00
WINV26;27/08/2026 13:42:00;27/08/2026 13:46:00;4min;1;1;V;177.680,00;177.815,00;177.725,00;Sim;27,00;135,00;11;27,00;135,00;11min;0,00;-4,00
WINV26;27/08/2026 13:51:00;27/08/2026 13:53:00;2min;1;1;C;177.765,00;177.860,00;177.725,00;Não;19,00;95,00;12;19,00;95,00;9min;0,00;15,00
WINV26;27/08/2026 13:55:00;27/08/2026 14:08:00;13min;1;1;V;178.015,00;177.815,00;177.725,00;Não;-40,00;-200,00;13;-40,00;-200,00;4min;0,00;-25,00
WINV26;27/08/2026 14:09:00;27/08/2026 14:12:00;3min;1;1;V;178.220,00;178.020,00;177.725,00;Sim;-40,00;-200,00;14;-40,00;-200,00;14min;0,00;-65,00
WINV26;27/08/2026 14:18:00;27/08/2026 14:34:00;16min;1;1;C;178.055,00;178.125,00;177.725,00;Não;14,00;70,00;15;14,00;70,00;9min;0,00;-51,00
WINV26;27/08/2026 14:35:00;27/08/2026 14:41:00;6min;1;1;V;177.970,00;178.115,00;177.725,00;Sim;29,00;145,00;16;29,00;145,00;17min;0,00;-22,00
WINV26;27/08/2026 14:49:00;27/08/2026 14:51:00;2min;1;1;C;177.950,00;178.065,00;177.725,00;Sim;23,00;115,00;17;23,00;115,00;14min;0,00;1,00
WINV26;27/08/2026 14:52:00;27/08/2026 15:02:00;10min;1;1;C;177.970,00;177.770,00;177.725,00;Não;-40,00;-200,00;18;-40,00;-200,00;3min;0,00;-39,00
WINV26;27/08/2026 15:04:00;27/08/2026 15:06:00;2min;1;1;C;177.855,00;178.075,00;177.725,00;Sim;44,00;220,00;19;44,00;220,00;12min;0,00;5,00
WINV26;27/08/2026 15:08:00;27/08/2026 15:15:00;7min;1;1;V;178.085,00;178.170,00;177.725,00;Sim;17,00;85,00;20;17,00;85,00;4min;0,00;22,00
WINV26;27/08/2026 15:19:00;27/08/2026 15:26:00;7min;1;1;V;178.075,00;178.195,00;177.725,00;Sim;24,00;120,00;21;24,00;120,00;11min;0,00;46,00
WINV26;27/08/2026 15:32:00;27/08/2026 15:41:00;9min;1;1;V;178.110,00;178.155,00;177.725,00;Não;9,00;45,00;22;9,00;45,00;13min;0,00;55,00
WINV26;27/08/2026 15:42:00;27/08/2026 15:50:00;8min;1;1;C;178.090,00;177.890,00;177.725,00;Não;-40,00;-200,00;23;-40,00;-200,00;10min;0,00;15,00
WINV26;27/08/2026 15:59:00;27/08/2026 16:18:00;19min;1;1;V;177.975,00;178.050,00;177.725,00;Não;15,00;75,00;24;15,00;75,00;17min;0,00;30,00
WINV26;27/08/2026 16:28:00;27/08/2026 16:30:00;2min;1;1;C;177.920,00;178.035,00;177.725,00;Sim;23,00;115,00;25;23,00;115,00;29min;0,00;53,00
WINV26;27/08/2026 16:41:00;27/08/2026 16:51:00;10min;1;1;C;178.115,00;177.915,00;177.725,00;Não;-40,00;-200,00;26;-40,00;-200,00;13min;0,00;13,00
WINV26;27/08/2026 16:56:00;27/08/2026 17:21:00;25min;1;1;V;177.800,00;178.045,00;177.725,00;Não;49,00;245,00;27;49,00;245,00;15min;0,00;62,00
