Conta: 26471
Titular: SIDERLEI SILVA
Data: 10/09/2026

Ativo;Abertura;Fechamento;Tempo Operação;Qtd Compra;Qtd Venda;Lado;Preço Compra;Preço Venda;Preço de Mercado;Médio;Res. Intervalo Bruto;Res. Intervalo (%);Número Operação;Res. Operação;Res. Operação (%);TET;Comissões;Total
WDOV26;10/09/2026 09:32:00;10/09/2026 09:36:00;4min;1;1;C;5.155,00;5.161,00;5.115,50;Não;60,00;6,00;1;60,00;6,00; - ;0,00;60,00
WDOV26;10/09/2026 10:12:00;10/09/2026 10:14:00;2min;1;1;C;5.160,50;5.166,50;5.116,00;Não;60,00;6,00;2;60,00;6,00;40min;0,00;120,00
WDOV26;10/09/2026 10:26:00;10/09/2026 10:32:00;6min;1;1;C;5.168,00;5.162,00;5.116,00;Não;-60,00;-6,00;3;-60,00;-6,00;14min;0,00;60,00
WDOV26;10/09/2026 10:38:00;10/09/2026 10:58:00;20min;1;1;C;5.163,50;5.169,50;5.116,00;Sim;60,00;6,00;4;60,00;6,00;12min;0,00;120,00
WDOV26;10/09/2026 11:06:00;10/09/2026 11:08:00;2min;1;1;V;5.163,50;5.157,50;5.116,00;Não;-60,00;-6,00;5;-60,00;-6,00;28min;0,00;60,00
WDOV26;10/09/2026 11:10:00;10/09/2026 11:24:00;14min;1;1;C;5.161,50;5.155,50;5.116,00;Sim;-60,00;-6,00;6;-60,00;-6,00;4min;0,00;0,00
WDOV26;10/09/2026 11:26:00;10/09/2026 11:28:00;2min;1;1;V;5.149,00;5.155,00;5.116,00;Não;60,00;6,00;7;60,00;6,00;16min;0,00;60,00
WDOV26;10/09/2026 11:30:00;10/09/2026 11:32:00;2min;1;1;V;5.142,00;5.148,00;5.116,00;Não;60,00;6,00;8;60,00;6,00;4min;0,00;120,00
WDOV26;10/09/2026 11:34:00;10/09/2026 11:34:00;-;1;1;V;5.135,00;5.141,00;5.116,00;Não;60,00;6,00;9;60,00;6,00;4min;0,00;180,00
WDOV26;10/09/2026 11:36:00;10/09/2026 11:40:00;4min;1;1;V;5.129,50;5.135,50;5.116,00;Não;60,00;6,00;10;60,00;6,00;2min;0,00;240,00
WDOV26;10/09/2026 11:42:00;10/09/2026 11:44:00;2min;1;1;V;5.122,00;5.128,00;5.116,00;Não;60,00;6,00;11;60,00;6,00;6min;0,00;300,00
WDOV26;10/09/2026 11:46:00;10/09/2026 11:46:00;-;1;1;V;5.116,50;5.122,50;5.116,00;Não;60,00;6,00;12;60,00;6,00;4min;0,00;360,00
WDOV26;10/09/2026 11:48:00;10/09/2026 11:50:00;2min;1;1;V;5.111,50;5.117,50;5.116,00;Não;60,00;6,00;13;60,00;6,00;2min;0,00;420,00
WDOV26;10/09/2026 11:52:00;10/09/2026 11:56:00;4min;1;1;V;5.106,50;5.112,50;5.116,00;Não;60,00;6,00;14;60,00;6,00;4min;0,00;480,00
WDOV26;10/09/2026 11:58:00;10/09/2026 12:00:00;2min;1;1;V;5.113,00;5.107,00;5.116,00;Não;-60,00;-6,00;15;-60,00;-6,00;6min;0,00;420,00
