Conta: 26471
Titular: 
Data Inicial: 21/09/2026
Data Final: 25/09/2026

Ativo;Abertura;Fechamento;Tempo Operação;Qtd Compra;Qtd Venda;Lado;Preço Compra;Preço Venda;Preço de Mercado;Médio;Res. Intervalo Bruto;Res. Intervalo (%);Número Operação;Res. Operação;Res. Operação (%);TET;Comissões;Total
WDOV26;21/09/2026 10:15:00;21/09/2026 10:50:00;35min;1;1;V;5.124,50;5.118,50;5.189,50;Não;-60,00;-6,00;1;-60,00;-6,00; - ;0,00;-60,00
WDOV26;21/09/2026 11:05:00;21/09/2026 11:10:00;5min;1;1;C;5.129,50;5.123,50;5.189,50;Não;-60,00;-6,00;2;-60,00;-6,00;50min;0,00;-120,00
WDOV26;21/09/2026 11:15:00;21/09/2026 11:20:00;5min;1;1;V;5.128,00;5.122,00;5.189,50;Sim;-60,00;-6,00;3;-60,00;-6,00;10min;0,00;-180,00
WDOV26;21/09/2026 11:55:00;21/09/2026 12:25:00;30min;1;1;V;5.122,00;5.116,00;5.189,50;Não;-60,00;-6,00;4;-60,00;-6,00;40min;0,00;-240,00
WDOV26;22/09/2026 10:00:00;22/09/2026 10:15:00;15min;1;1;V;5.129,50;5.135,50;5.189,50;Sim;60,00;6,00;5;60,00;6,00;22h5min;0,00;-180,00
WDOV26;22/09/2026 10:30:00;22/09/2026 10:40:00;10min;1;1;C;5.136,50;5.130,50;5.189,50;Não;-60,00;-6,00;6;-60,00;-6,00;30min;0,00;-240,00
WDOV26;22/09/2026 11:55:00;22/09/2026 12:00:00;5min;1;1;V;5.118,00;5.124,00;5.189,50;Não;60,00;6,00;7;60,00;6,00;1h25min;0,00;-180,00
WDOV26;22/09/2026 14:30:00;22/09/2026 14:50:00;20min;1;1;V;5.118,50;5.124,50;5.189,50;Sim;60,00;6,00;8;60,00;6,00;2h35min;0,00;-120,00
WDOV26;23/09/2026 10:00:00;23/09/2026 10:25:00;25min;1;1;V;5.133,50;5.139,50;5.189,50;Sim;60,00;6,00;9;60,00;6,00;19h30min;0,00;-60,00
WDOV26;23/09/2026 10:30:00;23/09/2026 10:30:00;-;1;1;V;5.135,50;5.129,50;5.189,50;Não;-60,00;-6,00;10;-60,00;-6,00;30min;0,00;-120,00
WDOV26;24/09/2026 09:35:00;24/09/2026 09:35:00;-;1;1;C;5.190,00;5.196,00;5.189,50;Não;60,00;6,00;11;60,00;6,00;23h5min;0,00;-60,00
WDOV26;24/09/2026 10:00:00;24/09/2026 10:20:00;20min;1;1;V;5.183,00;5.177,00;5.189,50;Sim;-60,00;-6,00;12;-60,00;-6,00;25min;0,00;-120,00
WDOV26;24/09/2026 10:35:00;24/09/2026 11:10:00;35min;1;1;V;5.184,50;5.178,50;5.189,50;Sim;-60,00;-6,00;13;-60,00;-6,00;35min;0,00;-180,00
WDOV26;24/09/2026 11:20:00;24/09/2026 12:00:00;40min;1;1;C;5.187,50;5.193,50;5.189,50;Sim;60,00;6,00;14;60,00;6,00;45min;0,00;-120,00
WDOV26;25/09/2026 09:45:00;25/09/2026 09:55:00;10min;1;1;C;5.195,00;5.201,00;5.189,50;Não;60,00;6,00;15;60,00;6,00;22h25min;0,00;-60,00
WDOV26;25/09/2026 11:05:00;25/09/2026 11:10:00;5min;1;1;C;5.209,00;5.203,00;5.189,50;Não;-60,00;-6,00;16;-60,00;-6,00;1h20min;0,00;-120,00
WDOV26;25/09/2026 11:20:00;25/09/2026 11:20:00;-;1;1;C;5.217,00;5.211,00;5.189,50;Não;-60,00;-6,00;17;-60,00;-6,00;15min;0,00;-180,00
