Conta: 26471
Titular: SIDERLEI SILVA
Data Inicial: 07/09/2026
Data Final: 11/09/2026

Ativo;Abertura;Fechamento;Tempo Operação;Qtd Compra;Qtd Venda;Lado;Preço Compra;Preço Venda;Preço de Mercado;Médio;Res. Intervalo Bruto;Res. Intervalo (%);Número Operação;Res. Operação;Res. Operação (%);TET;Comissões;Total
WDOV26;08/09/2026 09:45:00;08/09/2026 09:45:00;-;1;1;V;5.132,50;5.138,50;5.145,50;Não;60,00;6,00;1;60,00;6,00; - ;0,00;60,00
WDOV26;08/09/2026 09:50:00;08/09/2026 09:50:00;-;1;1;V;5.125,00;5.131,00;5.145,50;Não;60,00;6,00;2;60,00;6,00;5min;0,00;120,00
WDOV26;08/09/2026 09:55:00;08/09/2026 10:00:00;5min;1;1;V;5.121,00;5.127,00;5.145,50;Não;60,00;6,00;3;60,00;6,00;5min;0,00;180,00
WDOV26;08/09/2026 10:05:00;08/09/2026 10:25:00;20min;1;1;V;5.114,50;5.120,50;5.145,50;Não;60,00;6,00;4;60,00;6,00;10min;0,00;240,00
WDOV26;08/09/2026 10:30:00;08/09/2026 10:50:00;20min;1;1;V;5.108,00;5.114,00;5.145,50;Não;60,00;6,00;5;60,00;6,00;25min;0,00;300,00
WDOV26;08/09/2026 10:55:00;08/09/2026 11:05:00;10min;1;1;V;5.113,00;5.107,00;5.145,50;Não;-60,00;-6,00;6;-60,00;-6,00;25min;0,00;240,00
WDOV26;08/09/2026 11:50:00;08/09/2026 11:55:00;5min;1;1;V;5.106,50;5.100,50;5.145,50;Não;-60,00;-6,00;7;-60,00;-6,00;55min;0,00;180,00
WDOV26;08/09/2026 15:00:00;08/09/2026 15:05:00;5min;1;1;C;5.121,00;5.115,00;5.145,50;Não;-60,00;-6,00;8;-60,00;-6,00;3h10min;0,00;120,00
WDOV26;09/09/2026 09:35:00;09/09/2026 09:45:00;10min;1;1;C;5.112,00;5.118,00;5.145,50;Sim;60,00;6,00;9;60,00;6,00;18h35min;0,00;180,00
WDOV26;09/09/2026 09:50:00;09/09/2026 09:50:00;-;1;1;C;5.119,50;5.125,50;5.145,50;Não;60,00;6,00;10;60,00;6,00;15min;0,00;240,00
WDOV26;09/09/2026 09:55:00;09/09/2026 10:00:00;5min;1;1;C;5.127,00;5.121,00;5.145,50;Não;-60,00;-6,00;11;-60,00;-6,00;5min;0,00;180,00
WDOV26;09/09/2026 10:20:00;09/09/2026 10:25:00;5min;1;1;C;5.121,50;5.115,50;5.145,50;Sim;-60,00;-6,00;12;-60,00;-6,00;25min;0,00;120,00
WDOV26;09/09/2026 10:55:00;09/09/2026 11:45:00;50min;1;1;C;5.122,50;5.128,50;5.145,50;Não;60,00;6,00;13;60,00;6,00;35min;0,00;180,00
WDOV26;10/09/2026 09:35:00;10/09/2026 09:45:00;10min;1;1;C;5.159,50;5.153,50;5.145,50;Não;-60,00;-6,00;14;-60,00;-6,00;22h40min;0,00;120,00
WDOV26;10/09/2026 09:50:00;10/09/2026 09:50:00;-;1;1;V;5.156,00;5.150,00;5.145,50;Sim;-60,00;-6,00;15;-60,00;-6,00;15min;0,00;60,00
WDOV26;10/09/2026 10:15:00;10/09/2026 10:30:00;15min;1;1;C;5.167,00;5.161,00;5.145,50;Não;-60,00;-6,00;16;-60,00;-6,00;25min;0,00;0,00
WDOV26;10/09/2026 11:30:00;10/09/2026 11:30:00;-;1;1;V;5.142,00;5.148,00;5.145,50;Não;60,00;6,00;17;60,00;6,00;1h15min;0,00;60,00
WDOV26;10/09/2026 11:35:00;10/09/2026 11:35:00;-;1;1;V;5.133,00;5.139,00;5.145,50;Não;60,00;6,00;18;60,00;6,00;5min;0,00;120,00
WDOV26;10/09/2026 11:40:00;10/09/2026 11:40:00;-;1;1;V;5.128,50;5.134,50;5.145,50;Não;60,00;6,00;19;60,00;6,00;5min;0,00;180,00
WDOV26;10/09/2026 11:45:00;10/09/2026 11:45:00;-;1;1;V;5.117,00;5.123,00;5.145,50;Não;60,00;6,00;20;60,00;6,00;5min;0,00;240,00
WDOV26;10/09/2026 11:50:00;10/09/2026 11:50:00;-;1;1;V;5.111,50;5.117,50;5.145,50;Não;60,00;6,00;21;60,00;6,00;5min;0,00;300,00
WDOV26;10/09/2026 14:30:00;10/09/2026 14:35:00;5min;1;1;V;5.118,00;5.112,00;5.145,50;Não;-60,00;-6,00;22;-60,00;-6,00;2h40min;0,00;240,00
WDOV26;11/09/2026 09:40:00;11/09/2026 09:45:00;5min;1;1;V;5.112,50;5.118,50;5.145,50;Sim;60,00;6,00;23;60,00;6,00;19h10min;0,00;300,00
WDOV26;11/09/2026 09:50:00;11/09/2026 09:55:00;5min;1;1;V;5.103,50;5.109,50;5.145,50;Não;60,00;6,00;24;60,00;6,00;10min;0,00;360,00
WDOV26;11/09/2026 10:00:00;11/09/2026 10:00:00;-;1;1;V;5.096,00;5.102,00;5.145,50;Não;60,00;6,00;25;60,00;6,00;10min;0,00;420,00
WDOV26;11/09/2026 10:05:00;11/09/2026 10:05:00;-;1;1;V;5.101,50;5.095,50;5.145,50;Não;-60,00;-6,00;26;-60,00;-6,00;5min;0,00;360,00
WDOV26;11/09/2026 11:05:00;11/09/2026 11:35:00;30min;1;1;C;5.112,50;5.118,50;5.145,50;Sim;60,00;6,00;27;60,00;6,00;1h;0,00;420,00
WDOV26;11/09/2026 14:35:00;11/09/2026 14:45:00;10min;1;1;C;5.137,00;5.143,00;5.145,50;Não;60,00;6,00;28;60,00;6,00;3h30min;0,00;480,00
WDOV26;11/09/2026 14:50:00;11/09/2026 14:55:00;5min;1;1;C;5.141,50;5.147,50;5.145,50;Não;60,00;6,00;29;60,00;6,00;15min;0,00;540,00
