Conta: 26471
Titular: SIDERLEI SILVA
Data: 04/09/2026

Ativo;Abertura;Fechamento;Tempo Operação;Qtd Compra;Qtd Venda;Lado;Preço Compra;Preço Venda;Preço de Mercado;Médio;Res. Intervalo Bruto;Res. Intervalo (%);Número Operação;Res. Operação;Res. Operação (%);TET;Comissões;Total
WINV26;04/09/2026 09:05:00;04/09/2026 09:05:00;-;1;1;C;188.010,00;187.860,00;187.600,00;Não;-30,00;-150,00;1;-30,00;-150,00; - ;0,00;-30,00
WINV26;04/09/2026 09:30:00;04/09/2026 09:30:00;-;1;1;V;187.245,00;187.395,00;187.600,00;Não;30,00;150,00;2;30,00;150,00;25min;0,00;0,00
WINV26;04/09/2026 09:35:00;04/09/2026 09:35:00;-;1;1;V;187.220,00;187.070,00;187.600,00;Não;-30,00;-150,00;3;-30,00;-150,00;5min;0,00;-30,00
WINV26;04/09/2026 09:45:00;04/09/2026 09:45:00;-;1;1;V;186.770,00;186.920,00;187.600,00;Não;30,00;150,00;4;30,00;150,00;10min;0,00;0,00
WINV26;04/09/2026 10:05:00;04/09/2026 10:05:00;-;1;1;V;186.815,00;186.665,00;187.600,00;Não;-30,00;-150,00;5;-30,00;-150,00;20min;0,00;-30,00
WINV26;04/09/2026 10:20:00;04/09/2026 10:20:00;-;1;1;V;186.440,00;186.290,00;187.600,00;Não;-30,00;-150,00;6;-30,00;-150,00;15min;0,00;-60,00
WINV26;04/09/2026 10:30:00;04/09/2026 10:30:00;-;1;1;V;185.860,00;185.710,00;187.600,00;Não;-30,00;-150,00;7;-30,00;-150,00;10min;0,00;-90,00
WINV26;04/09/2026 10:55:00;04/09/2026 10:55:00;-;1;1;V;186.230,00;186.380,00;187.600,00;Sim;30,00;150,00;8;30,00;150,00;25min;0,00;-60,00
WINV26;04/09/2026 14:40:00;04/09/2026 14:40:00;-;1;1;C;188.215,00;188.065,00;187.600,00;Não;-30,00;-150,00;9;-30,00;-150,00;3h45min;0,00;-90,00
WINV26;04/09/2026 16:30:00;04/09/2026 16:30:00;-;1;1;V;187.180,00;187.330,00;187.600,00;Sim;30,00;150,00;10;30,00;150,00;1h50min;0,00;-60,00
WINV26;04/09/2026 16:35:00;04/09/2026 16:40:00;5min;1;1;V;187.270,00;187.120,00;187.600,00;Não;-30,00;-150,00;11;-30,00;-150,00;5min;0,00;-90,00
