Conta: 26471
Titular: SIDERLEI SILVA
Data: 01/09/2026

Ativo;Abertura;Fechamento;Tempo Operação;Qtd Compra;Qtd Venda;Lado;Preço Compra;Preço Venda;Preço de Mercado;Médio;Res. Intervalo Bruto;Res. Intervalo (%);Número Operação;Res. Operação;Res. Operação (%);TET;Comissões;Total
WINV26;01/09/2026 09:10:00;01/09/2026 09:10:00;-;1;1;C;180.235,00;180.085,00;183.005,00;Não;-30,00;-150,00;1;-30,00;-150,00; - ;0,00;-30,00
WINV26;01/09/2026 09:20:00;01/09/2026 09:20:00;-;1;1;C;180.415,00;180.265,00;183.005,00;Não;-30,00;-150,00;2;-30,00;-150,00;10min;0,00;-60,00
WINV26;01/09/2026 09:30:00;01/09/2026 09:30:00;-;1;1;C;180.475,00;180.475,00;183.005,00;Não;0;0;3;0;0;10min;0,00;-60,00
WINV26;01/09/2026 09:45:00;01/09/2026 09:45:00;-;1;1;C;180.565,00;180.715,00;183.005,00;Não;30,00;150,00;4;30,00;150,00;15min;0,00;-30,00
WINV26;01/09/2026 09:50:00;01/09/2026 09:50:00;-;1;1;C;180.695,00;180.845,00;183.005,00;Não;30,00;150,00;5;30,00;150,00;5min;0,00;0,00
WINV26;01/09/2026 09:55:00;01/09/2026 09:55:00;-;1;1;C;181.140,00;181.290,00;183.005,00;Não;30,00;150,00;6;30,00;150,00;5min;0,00;30,00
WINV26;01/09/2026 10:00:00;01/09/2026 10:00:00;-;1;1;C;181.195,00;181.195,00;183.005,00;Não;0;0;7;0;0;5min;0,00;30,00
WINV26;01/09/2026 10:20:00;01/09/2026 10:20:00;-;1;1;V;180.070,00;180.220,00;183.005,00;Não;30,00;150,00;8;30,00;150,00;20min;0,00;60,00
WINV26;01/09/2026 10:25:00;01/09/2026 10:25:00;-;1;1;V;179.955,00;179.955,00;183.005,00;Não;0;0;9;0;0;5min;0,00;60,00
WINV26;01/09/2026 10:35:00;01/09/2026 10:35:00;-;1;1;C;181.170,00;181.320,00;183.005,00;Sim;30,00;150,00;10;30,00;150,00;10min;0,00;90,00
WINV26;01/09/2026 10:40:00;01/09/2026 10:40:00;-;1;1;C;181.615,00;181.615,00;183.005,00;Não;0;0;11;0;0;5min;0,00;90,00
WINV26;01/09/2026 10:55:00;01/09/2026 10:55:00;-;1;1;C;181.810,00;181.960,00;183.005,00;Não;30,00;150,00;12;30,00;150,00;15min;0,00;120,00
WINV26;01/09/2026 11:05:00;01/09/2026 11:05:00;-;1;1;C;182.910,00;183.060,00;183.005,00;Não;30,00;150,00;13;30,00;150,00;10min;0,00;150,00
