Conta: 26471
Titular: SIDERLEI SILVA
Data: 28/08/2026

Ativo;Abertura;Fechamento;Tempo Operação;Qtd Compra;Qtd Venda;Lado;Preço Compra;Preço Venda;Preço de Mercado;Médio;Res. Intervalo Bruto;Res. Intervalo (%);Número Operação;Res. Operação;Res. Operação (%);TET;Comissões;Total
WDOU26;28/08/2026 09:15:00;28/08/2026 09:50:00;35min;1;1;C;5.167,50;5.173,50;5.207,00;Não;60,00;6,00;1;60,00;6,00; - ;0,00;60,00
WDOU26;28/08/2026 09:55:00;28/08/2026 10:05:00;10min;1;1;C;5.172,00;5.178,00;5.207,00;Não;60,00;6,00;2;60,00;6,00;40min;0,00;120,00
WDOU26;28/08/2026 10:10:00;28/08/2026 10:10:00;-;1;1;C;5.177,50;5.183,50;5.207,00;Não;60,00;6,00;3;60,00;6,00;15min;0,00;180,00
WDOU26;28/08/2026 10:15:00;28/08/2026 10:20:00;5min;1;1;C;5.182,00;5.188,00;5.207,00;Não;60,00;6,00;4;60,00;6,00;5min;0,00;240,00
WDOU26;28/08/2026 10:25:00;28/08/2026 10:35:00;10min;1;1;C;5.191,00;5.197,00;5.207,00;Não;60,00;6,00;5;60,00;6,00;10min;0,00;300,00
WDOU26;28/08/2026 11:05:00;28/08/2026 11:15:00;10min;1;1;C;5.194,50;5.200,50;5.207,00;Não;60,00;6,00;6;60,00;6,00;40min;0,00;360,00
WDOU26;28/08/2026 11:20:00;28/08/2026 11:20:00;-;1;1;C;5.203,50;5.209,50;5.207,00;Não;60,00;6,00;7;60,00;6,00;15min;0,00;420,00
WDOU26;28/08/2026 11:25:00;28/08/2026 11:25:00;-;1;1;C;5.208,50;5.214,50;5.207,00;Não;60,00;6,00;8;60,00;6,00;5min;0,00;480,00
WDOU26;28/08/2026 11:30:00;28/08/2026 11:30:00;-;1;1;C;5.210,50;5.210,50;5.207,00;Não;0;0;9;0;0;5min;0,00;480,00
WDOU26;28/08/2026 13:05:00;28/08/2026 13:15:00;10min;1;1;C;5.225,50;5.231,50;5.207,00;Não;60,00;6,00;10;60,00;6,00;1h35min;0,00;540,00
WDOU26;28/08/2026 13:20:00;28/08/2026 13:25:00;5min;1;1;C;5.230,50;5.224,50;5.207,00;Não;-60,00;-6,00;11;-60,00;-6,00;15min;0,00;480,00
